"kaynak","kategori","kategori_adi","term","risk_turu","risk_puani","active","baglam_kurali","updated_at"
"Sistem","dijital_risk","Dijital Risk ve Hukuk","siber zorbalık ifadesi","Kelime / ifade","4","True","Uygulanabilir zararlı talimat olup olmadığı kontrol edilir","Sistem varsayılanı"
"Sistem","dijital_risk","Dijital Risk ve Hukuk","siber zorbalık sahnesi","Kelime / ifade","4","True","Uygulanabilir zararlı talimat olup olmadığı kontrol edilir","Sistem varsayılanı"
"Sistem","dijital_risk","Dijital Risk ve Hukuk","şifre çalmak","Kelime / ifade","4","True","Uygulanabilir zararlı talimat olup olmadığı kontrol edilir","Sistem varsayılanı"
"Sistem","dijital_risk","Dijital Risk ve Hukuk","şifre çalmak anlatımı","Kelime / ifade","4","True","Uygulanabilir zararlı talimat olup olmadığı kontrol edilir","Sistem varsayılanı"
"Sistem","dijital_risk","Dijital Risk ve Hukuk","şifre çalmak ifadesi","Kelime / ifade","4","True","Uygulanabilir zararlı talimat olup olmadığı kontrol edilir","Sistem varsayılanı"
"Sistem","dijital_risk","Dijital Risk ve Hukuk","şifre çalmak sahnesi","Kelime / ifade","4","True","Uygulanabilir zararlı talimat olup olmadığı kontrol edilir","Sistem varsayılanı"
"Sistem","dijital_risk","Dijital Risk ve Hukuk","tehdit mesajı","Kelime / ifade","4","True","Uygulanabilir zararlı talimat olup olmadığı kontrol edilir","Sistem varsayılanı"
"Sistem","dijital_risk","Dijital Risk ve Hukuk","tehdit mesajı anlatımı","Kelime / ifade","4","True","Uygulanabilir zararlı talimat olup olmadığı kontrol edilir","Sistem varsayılanı"
"Sistem","dijital_risk","Dijital Risk ve Hukuk","tehdit mesajı ifadesi","Kelime / ifade","4","True","Uygulanabilir zararlı talimat olup olmadığı kontrol edilir","Sistem varsayılanı"
"Sistem","dijital_risk","Dijital Risk ve Hukuk","tehdit mesajı sahnesi","Kelime / ifade","4","True","Uygulanabilir zararlı talimat olup olmadığı kontrol edilir","Sistem varsayılanı"
